TIME(ns),FREQ(Hz)
332125000,        160
332375000,        160
332625000,        160
332875000,        160
333125000,        160
333375000,        160
333625000,        160
333875000,        160
334125000,        160
334375000,        160
334625000,        160
334875000,        160
335125000,        160
335375000,        160
335625000,        160
335875000,        160
336125000,        160
336375000,        160
336625000,        160
336875000,        160
337125000,        160
337375000,        160
337625000,        160
337875000,        160
338125000,        160
338375000,        160
338625000,        160
338875000,        160
339125000,        160
339375000,        160
339625000,        160
339875000,        160
340125000,        160
340375000,        160
340625000,        160
340875000,        160
341125000,        160
341375000,        160
341625000,        160
341875000,        160
342125000,        160
342375000,        160
342625000,        160
342875000,        160
343125000,        160
343375000,        160
343625000,        160
343875000,        160
344125000,        160
344375000,        160
344625000,        160
344875000,        160
345125000,        160
345375000,        160
345625000,        160
345875000,        160
346125000,        160
346375000,        160
346625000,        160
346875000,        160
347125000,        160
347375000,        160
347625000,        160
347875000,        160
348125000,        160
348375000,        160
348625000,        160
348875000,        160
349125000,        160
349375000,        160
349625000,        160
349875000,        160
350125000,        160
350375000,        160
350625000,        160
350875000,        160
351125000,        160
351375000,        160
351625000,        160
351875000,        160
352125000,        160
352375000,        160
352625000,        160
352875000,        160
353125000,        160
353375000,        160
353625000,        160
353875000,        160
354125000,        160
354375000,        160
354625000,        160
354875000,        160
355125000,        160
355375000,        160
355625000,        160
355875000,        160
356125000,        160
356375000,        160
356625000,        160
356875000,        160
357125000,        160
357375000,        160
357625000,        160
357875000,        160
358125000,        160
358375000,        160
358625000,        160
358875000,        160
359125000,        160
359375000,        160
359625000,        160
359875000,        160
360125000,        160
360375000,        160
360625000,        160
360875000,        160
361125000,        160
361375000,        160
361625000,        160
361875000,        160
362125000,        160
362375000,        160
362625000,        160
362875000,        160
363125000,        160
363375000,        160
363625000,        160
363875000,        160
364125000,        160
364375000,        160
364625000,        160
364875000,        160
365125000,        160
365375000,        160
365625000,        160
365875000,        160
366125000,        160
366375000,        160
366625000,        160
366875000,        160
367125000,        160
367375000,        160
367625000,        160
367875000,        160
368125000,        160
368375000,        160
368625000,        160
368875000,        160
369125000,        160
369375000,        160
369625000,        160
369875000,        160
370125000,        160
370375000,        160
370625000,        160
370875000,        160
371125000,        160
371375000,        160
371625000,        160
371875000,        160
372125000,        160
372375000,        160
372625000,        160
372875000,        160
373125000,        160
373375000,        160
373625000,        160
373875000,        160
374125000,        160
374375000,        160
374625000,        160
374875000,        160
375125000,        160
375375000,        160
375625000,        160
375875000,        160
376125000,        160
376375000,        160
376625000,        160
376875000,        160
377125000,        160
377375000,        160
377625000,        160
377875000,        160
378125000,        160
378375000,        160
378625000,        160
378875000,        160
379125000,        160
379375000,        160
379625000,        160
379875000,        160
380125000,        160
380375000,        160
380625000,        160
380875000,        160
381125000,        160
381375000,        160
381625000,        160
381875000,        160
382125000,        160
382375000,        160
382625000,        160
382875000,        160
383125000,        160
383375000,        160
383625000,        160
383875000,        160
384125000,        160
384375000,        160
384625000,        160
384875000,        160
385125000,        160
385375000,        160
385625000,        160
385875000,        160
386125000,        160
386375000,        160
386625000,        160
386875000,        160
387125000,        160
387375000,        160
387625000,        160
387875000,        160
388125000,        160
388375000,        160
388625000,        160
388875000,        160
389125000,        160
389375000,        160
389625000,        160
389875000,        160
390125000,        160
390375000,        160
390625000,        160
390875000,        160
391125000,        160
391375000,        160
391625000,        160
391875000,        160
392125000,        160
392375000,        160
392625000,        160
392875000,        160
393125000,        160
393375000,        160
393625000,        160
393875000,        160
394125000,        160
394375000,        160
394625000,        160
394875000,        160
395125000,        160
395375000,        160
395625000,        160
395875000,        160
396125000,        160
396375000,        160
396625000,        160
396875000,        160
397125000,        160
397375000,        160
397625000,        160
397875000,        160
398125000,        160
398375000,        160
398625000,        160
398875000,        160
399125000,        160
399375000,        160
399625000,        160
399875000,        160
400125000,        160
400375000,        160
400625000,        160
400875000,        160
401125000,        160
401375000,        160
401625000,        160
401875000,        160
402125000,        160
402375000,        160
402625000,        160
402875000,        160
403125000,        160
403375000,        160
403625000,        160
403875000,        160
404125000,        160
404375000,        160
404625000,        160
404875000,        160
405125000,        160
405375000,        160
405625000,        160
405875000,        160
406125000,        160
406375000,        160
406625000,        160
406875000,        160
407125000,        160
407375000,        160
407625000,        160
407875000,        160
408125000,        160
408375000,        160
408625000,        160
408875000,        160
409125000,        160
409375000,        160
409625000,        160
409875000,        160
410125000,        160
410375000,        160
410625000,        160
410875000,        160
411125000,        160
411375000,        160
411625000,        160
411875000,        160
412125000,        160
412375000,        160
412625000,        160
412875000,        160
413125000,        160
413375000,        160
413625000,        160
413875000,        160
414125000,        160
414375000,        160
414625000,        160
414875000,        160
415125000,        160
415375000,        160
415625000,        160
415875000,        160
416125000,        160
416375000,        160
416625000,        160
416875000,        160
417125000,        160
417375000,        160
417625000,        160
417875000,        160
418125000,        160
418375000,        160
418625000,        160
418875000,        160
419125000,        160
419375000,        160
419625000,        160
419875000,        160
420125000,        160
420375000,        160
420625000,        160
420875000,        160
421125000,        160
421375000,        160
421625000,        160
421875000,        160
422125000,        160
422375000,        160
422625000,        160
422875000,        160
423125000,        160
423375000,        160
423625000,        160
423875000,        160
424125000,        160
424375000,        160
424625000,        160
424875000,        160
425125000,        160
425375000,        160
425625000,        160
425875000,        160
426125000,        160
426375000,        160
426625000,        160
426875000,        160
427125000,        160
427375000,        160
427625000,        160
427875000,        160
428125000,        160
428375000,        160
428625000,        160
428875000,        160
429125000,        160
429375000,        160
429625000,        160
429875000,        160
430125000,        160
430375000,        160
430625000,        160
430875000,        160
431125000,        160
431375000,        160
431625000,        160
431875000,        160
432125000,        160
432375000,        160
432625000,        160
432875000,        160
433125000,        160
433375000,        160
433625000,        160
433875000,        160
434125000,        160
434375000,        160
434625000,        160
434875000,        160
435125000,        160
435375000,        160
435625000,        160
435875000,        160
436125000,        160
436375000,        160
436625000,        160
436875000,        160
437125000,        160
437375000,        160
437625000,        160
437875000,        160
438125000,        160
438375000,        160
438625000,        160
438875000,        160
439125000,        160
439375000,        160
439625000,        160
439875000,        160
440125000,        160
440375000,        160
440625000,        160
440875000,        160
441125000,        160
441375000,        160
441625000,        160
441875000,        160
442125000,        160
442375000,        160
442625000,        160
442875000,        160
443125000,        160
443375000,        160
443625000,        160
443875000,        160
444125000,        160
444375000,        160
444625000,        160
444875000,        160
445125000,        160
445375000,        160
445625000,        160
445875000,        160
446125000,        160
446375000,        160
446625000,        160
